doc_id,business_id,business_name,text,original_text,source,tags
rev_1159_8,40397189,Unknown,what ever happened to fresh from the deep fryer crispy and piping hot sprinkled with just enough salt,"What ever happened to fresh from the deep fryer, crispy and piping hot, sprinkled with just enough salt",review,temperature
rev_1159_13,40397189,Unknown,they do come out hot but i just dont trust this location anymore,"They do come out hot, but I just don't trust this location anymore",review,temperature
rev_1162_2,41692813,Unknown,otherwise its very clean and very the employees are nice,otherwise its very clean and very the employees are nice,review,contamination
rev_1165_0,50084632,Unknown,the operations and food seem fine but this location has a chronic problem with leaving things out of my order,"the operations and food seem fine, but this location has a chronic problem with leaving things out of my order",review,pests
rev_1173_14,41175823,Unknown,尉i tell him thats an operational issue that has nothing to do with me,尉I tell him that's an operational issue that has nothing to do with me,review,pests
rev_1173_21,41175823,Unknown,尉then he mutters a halfbaked sorry slides a dime across the counter to me and walks away,"尉Then he mutters a half-baked ""sorry,"" slides a dime across the counter to me, and walks away",review,contamination
rev_1179_0,40397723,Unknown,ask for condiments straws and napkins,"ASK FOR CONDIMENTS, STRAWS AND NAPKINS",review,contamination
rev_1179_4,40397723,Unknown,i also didnt get a straw for my orange juice,I also didn't get a straw for my orange juice,review,contamination
rev_1182_4,41156192,Unknown,尉i dont think ive ever had hot fries from this location,尉I don't think I've ever had hot fries from this location,review,temperature
rev_1185_10,50130763,Unknown,doesnt matter how hungry and in need of quick calories ill be in the future id rather not eat than come here again,"Doesn't matter how hungry and in need of quick calories I'll be in the future, I'd rather not eat than come here again",review,pests
rev_1186_3,50146374,Unknown,ive only got the fish fillet and the coffeehot chocolate so i have a good impression so far,"I've only got the fish fillet and the coffee/hot chocolate, so I have a good impression so far",review,temperature
rev_1186_5,50146374,Unknown,the bathroom and the restaurant are relatively clean,The bathroom and the restaurant are relatively clean,review,contamination
rev_1187_0,50084846,Unknown,for how many times we went here they always serve as cold fries,For how many times we went here they always serve as cold fries,review,temperature
rev_1187_2,50084846,Unknown,most of their workers are like her but i think she got the most unapproachable attitude,most of their workers are like her but I think she got the most unapproachable attitude,review,pests
rev_1187_5,50084846,Unknown,and do not even dare to serve cold fries again to your customer,and do not even dare to serve cold fries again to your customer,review,temperature
rev_1187_6,50084846,Unknown,hover and washington serve better fries than you guysbetter shape up,"Hover and Washington serve better fries than you guys,,,better shape up",review,contamination
rev_1189_0,50153268,Unknown,hobos and flys come in and out of this location,Hobos and flys come in and out of this location,review,pests
rev_1192_3,50137122,Unknown,then asked if we wanted to handle it outside,"then asked if we ""wanted to handle it"" outside",review,contamination
rev_1199_2,50176340,Unknown,the service was okay the staff were on their phone  talking amongst each other there was no one out on the floor cleaning the tables or the floor and the floor had a massive spill of soda everwhere,"The service was okay, the staff were on their phone & talking amongst each other, there was no one out on the floor cleaning the tables or the floor and the floor had a massive spill of soda everwhere",review,contamination
rev_1201_15,50088464,Unknown,尉piping hot coffee fresh and clean,"尉Piping hot coffee, fresh and clean",review,"temperature,contamination"
rev_1203_6,50070839,Unknown,lucky there is a 711 down the street which i would rather go,Lucky there is a 7-11 down the street which I would rather go,review,pests
rev_1208_0,50171915,Unknown,i order a hot chocolat its just warm water with a little bit of chocolat,"I order a hot chocolat, it's just warm water with a little bit of chocolat",review,temperature
rev_1209_5,50045788,Unknown,then across the street more zombies appeared out of nowhere including zombies on bikes who too stopped to stare,"Then across the street, more zombies appeared out of nowhere including zombies on bikes who too stopped to stare",review,contamination
rev_1210_0,50138073,Unknown,clean inside and out quick and polite service tasty latte,"Clean inside and out, quick and polite service, tasty latte",review,contamination
rev_1210_1,50138073,Unknown,尉i noticed everyone seemed to be getting along and were dressed in clean uniforms,尉I noticed everyone seemed to be getting along and were dressed in clean uniforms,review,contamination
rev_1211_0,50114321,Unknown,this is my third review of mcdonalds across three different cities,This is my third review of McDonald's across three different cities,review,contamination
rev_1211_2,50114321,Unknown,because its mcdonalds and everyone knows that mcdonalds serves the most amazing flashfrozen food in the world i employ a different rating system where every one i go to starts at 5 stars,"Because it's McDonald's, and everyone knows that McDonald's serves the most amazing flash-frozen food in the world, I employ a different rating system where every one I go to starts at 5 stars",review,pests
rev_1213_13,40967394,Unknown,it was ridiculously clean they seemed to have adequate staff on hand and they moved very efficiently,"It was ridiculously clean, they seemed to have adequate staff on hand, and they moved very efficiently",review,contamination
rev_1213_14,40967394,Unknown,the counter staff was very friendly the food came fast and was hot,"The counter staff was very friendly, the food came fast and was hot",review,temperature
rev_1213_17,40967394,Unknown,as such my star ratings reflect the service and the cleanliness,"As such, my star ratings reflect the service and the cleanliness",review,"pests,contamination"
rev_1215_0,41521360,Unknown,be 3am on a saturdaybe drunk with friends in carpull up to drive throughbig suv in front not ordering anythingguy steps out approaches our carohshit,"Be 3am on a SaturdayBe drunk with friends in carPull up to drive throughBig SUV in front, not ordering anythingGuy steps out approaches our carOhshit",review,pests
rev_1218_3,40962159,Unknown,while in the middle of exchange hands,while in the middle of exchange hands,review,contamination
rev_1219_6,50070042,Unknown,尉they put like 4 shots,尉They put like 4 shots,review,temperature
rev_1222_10,50143968,Unknown,the bathroom is clean and im glad they make you pay for italways a winner in my book,"The bathroom is clean, and I'm glad they make you pay for it--always a winner in my book",review,contamination
rev_1222_24,50143968,Unknown,ive seen none so its my guess the management has really upped it because it is also one of the cleanest ive ever been to,"I've seen none, so it's my guess the management has really upped it because it is also one of the cleanest I've ever been to",review,contamination
rev_1224_18,50087672,Unknown,they are a high speed low drag group geared up everyday to get our food hot and fast while defending their outpost from the raiding bands of scavengers,They are a high speed low drag group geared up everyday to get our food hot and fast while defending their outpost from the raiding bands of scavengers,review,temperature
rev_1225_4,50109444,Unknown,i saw a handful of roaches crawling on the front of the counter,I saw a handful of roaches crawling on the front of the counter,review,"pests,contamination"
rev_1226_1,40931929,Unknown,i only go there because its the closest one to me and on my way to work but id actually rather go to the buminfested one on olympic and 7th if i could because this one though cleaner and saferlooking messes up some part of my order or experience at least 50 of the time,"I only go there because its the closest one to me and on my way to work, but I'd actually rather go to the bum-infested one on Olympic and 7th if I could because this one, though cleaner and safer-looking, messes up some part of my order or experience at least 50% of the time",review,"pests,contamination"
